year,make,model,trim,exterior color,url
2026,Yamaha,YZ250,70th,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz250/jellybean-56cf67a7-9cd4-4ea6-87ba-a8bc6f326895.png
2026,Yamaha,,YZ250F,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz250f/jellybean-c03006d0-fd8b-4041-9f3b-bc62a93fdcde.png
2026,Yamaha,,YZ250,YB,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz250/jellybean-24c109e3-9f5b-4bb8-bc0f-14051c9ee8f8.png
2026,Yamaha,,YZ250FX,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz250fx/jellybean-83c025e2-9110-4703-bc5c-75a7a1f7593f.png
2026,Yamaha,YZ250,70th,YB,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz250/jellybean-36f2e579-274a-4d05-8f78-be9956709ec0.png
2026,Yamaha,,YFZ50,DBPSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz50/jellybean-338bf5e7-4466-4683-81a0-fefd6e9dcb3c.png
2026,Yamaha,,YFZ50,LGS5,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz50/jellybean-67879de2-d95a-4530-bd67-5aca06ca45d6.png
2026,Yamaha,YFZ450R,SE 70th,BW1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-d70ed851-d3fc-450b-a08e-c19a9a00451d.png
2026,Yamaha,YZ125,70th,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz125/jellybean-109216b3-1182-4c20-ae23-759306b22cb4.png
2026,Yamaha,,YZ125,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz125/jellybean-edc4cdd4-5879-476b-a86f-cd21179ddb6b.png
2026,Yamaha,,YZ125X,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yz125x/jellybean-2a6b7f1a-f5c0-45e8-9a32-271f7d5ec29a.png
2026,Yamaha,YFZ450R,SE,BW1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-8e05b023-603c-4ce8-8302-b99555845a46.png
2026,Yamaha,,XSR900,SW,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/xsr900/jellybean-897ec542-2dc1-43d8-8744-1ba691806e6f.png
2026,Yamaha,,XSR900,SMX,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/xsr900/jellybean-3921e24a-5169-43ff-930f-e01ac79d2bf4.png
2026,Yamaha,,YFZ450R,BW1,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-c1482735-7cf1-47a4-a7a5-929b2a4af269.png
2026,Yamaha,,YFZ450R,LGS5,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-54290b05-754d-4d72-8641-61afb53e51f9.png
2026,Yamaha,YFZ450R,SE,LGS5,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-b5df0b63-566b-49a9-acaa-68bca8279758.png
2026,Yamaha,,YFZ450R,DPBSE,https://public.matiasbobek-dev-app.constech.io/jellybeans/2026/yamaha/yfz450r/jellybean-1c71cb56-f59d-4a62-9e34-52a1d11cbd67.png
